campaign_id,campaign_name,year,number_of_impressions,number_of_clicks,number_of_installs,amount_of_spend,CTR,CTI
campaign_10,Super campaign 10,2022,0,5429764,213682,57194.670000000006,,0.26766255463726474
campaign_13,Super campaign 13,2022,0,0,2,0.0,,0.0
campaign_16,Super campaign 16,2022,245177026,2132984,28776,18314.593699999994,0.008699771078877512,0.6364537705031968
campaign_4,Super campaign 4,2022,0,0,26,0.0,,0.0
campaign_5,Super campaign 5,2022,0,0,1072,0.0,,0.0
campaign_6,Super campaign 6,2022,95681244,847818,3776,1422.1974000000007,0.008860858874284703,0.3766412605932205
campaign_9,Super campaign 9,2022,0,0,541224,0.0,,0.0
